Name	Length	EffectiveLength	TPM	NumReads
FBgn0052496	778	607.139	2.16824	11
FBgn0052009	2999	2828.06	0	0
FBgn0262688	493	322.382	0.371221	1
FBgn0053222	541	370.246	2.14622	6.6399
FBgn0266940	581	410.246	0	0
FBgn0051615	315	144.553	0	0
FBgn0262565	802	631.139	0	0
FBgn0263002	361	190.52	0	0
FBgn0053498	369	198.52	0	0
FBgn0084049	531	360.246	14.8182	44.6057
FBgn0263211	352	181.538	1.70671	2.58897
FBgn0267872	775	604.139	0	0
FBgn0262031	330	159.538	30.0737	40.0912
FBgn0267014	274	103.579	4.67684	4.04784
FBgn0039987	184	20.1303	0	0
FBgn0261640	810	639.139	0	0
FBgn0052761	71	18.14	0	0
FBgn0267863	274	103.579	0	0
FBgn0052034	74	18.807	0	0
FBgn0262795	735	564.139	0	0
FBgn0261856	450	279.413	0.428309	1
FBgn0051485	73	18.125	0	0
FBgn0267610	864	693.139	0	0
FBgn0262851	1188	1017.06	0.0100025	0.0850069
FBgn0053416	143	38.5369	0	0
FBgn0267520	357	186.52	2.98424	4.65111
FBgn0267054	629	458.246	0	0
FBgn0085765	30	31	0	0
FBgn0267424	659	488.246	0	0
FBgn0030116	1305	1134.06	0	0
FBgn0031135	363	192.52	0	0
FBgn0263213	224	53.6327	0	0
FBgn0267878	266	95.5992	0	0
FBgn0058441	177	16.3455	0	0
FBgn0267864	485	314.382	0	0
FBgn0085500	687	516.246	0	0
FBgn0085784	479	308.413	0	0
FBgn0262848	1188	1017.06	21.6747	184.203
FBgn0063924	307	136.553	0.409183	0.466892
FBgn0262616	554	383.246	0.312266	1
FBgn0267891	718	547.139	0	0
FBgn0053491	369	198.52	3.80597	6.31345
FBgn0050374	600	429.246	0.278802	1
FBgn0267898	414	243.413	0	0
FBgn0260469	463.5	378.07	0.633084	4
FBgn0267874	253	82.6084	0	0
FBgn0030243	4287.23	4131.82	37.777	1434.56
FBgn0032269	1867	1696.06	0	0
FBgn0266369	2930	2759.06	17.0898	394
FBgn0032596	746.716	582.215	150.998	763
FBgn0033770	631	460.246	0.260023	1
FBgn0259237	2786	2615.06	0	0
FBgn0013685	525	354.246	0.33783	1
FBgn0031021	768	597.139	72.0961	359.737
FBgn0033491	3329	3158.06	6.51795	172
FBgn0051141	961	790.139	0.15146	1
FBgn0284082	778	607.139	0.197113	1
FBgn0036396	1352	1181.06	7.09299	70
FBgn0036641	446.96	360.543	25.3499	151
FBgn0027594	1496.38	1439.33	162.463	5855
FBgn0261954	1710.08	1672.97	42.4829	2736
FBgn0029987	639	468.246	0.255581	1
FBgn0031660	1078.5	916.752	131.548	1065
FBgn0038619	470	384.57	21.3166	137
FBgn0001341	3680	3509.06	7.43479	218
FBgn0037541	1535.92	1498.51	25.176	1440.6
FBgn0016701	717.989	608.695	65.7611	523
FBgn0039110	885.014	799.543	53.9085	720.309
FBgn0038839	2837.5	2666.56	0	0
FBgn0264307	790.227	752.466	9.34861	266.091
FBgn0263355	1658.17	1580.07	44.073	1273.58
FBgn0032482	677.366	624.322	183.978	3092.98
FBgn0050082	843	672.139	0.356101	2
FBgn0033698	5896	5725.06	16.1585	773
FBgn0032240	268.883	183.253	141.08	430.787
FBgn0029925	1070	899.058	23.2945	175
FBgn0039017	1757	1586.06	6.33815	84
FBgn0259711	908	737.139	9.57867	59
FBgn0051140	1197.85	1163.77	5.74101	280.014
FBgn0004379	1010.71	951.348	20.9251	479
FBgn0036158	782	611.139	0	0
FBgn0031816	1543.48	1413.46	7.01941	109
FBgn0034923	835.5	750.03	23.0564	289
FBgn0039582	1151	980.058	0	0
FBgn0051635	1116.26	1086.74	9.45979	497.475
FBgn0263117	1682.33	1625.35	0.0504973	2.05747
FBgn0030259	717	546.139	0	0
FBgn0029858	1073.49	979.951	10.1579	152
FBgn0260745	372.668	350.781	230.728	5281.99
FBgn0015791	592.293	505.034	114.671	948
FBgn0051453	1350.6	1206.99	46.8153	562
FBgn0025574	1068.52	976.727	15.1327	230
FBgn0039637	1640.71	1552.19	102.497	2567
FBgn0016975	2714.67	2657.69	1.38842	92.5
FBgn0023095	2713.73	2615.16	1.53048	58
FBgn0014022	1444	1273.06	14.5709	155
FBgn0035134	1243	1072.06	0.446523	4
FBgn0044826	1797.66	1712.19	61.9976	1774
FBgn0030937	1405	1234.06	0	0
FBgn0085213	715	544.139	0.219934	1
FBgn0039875	1762.08	1637.74	62.1906	1170
FBgn0037736	3598	3427.06	0.0349206	1
FBgn0024732	1435.33	1321.37	16.1816	268
FBgn0053700	1116	945.058	0	0
FBgn0260747	984.86	816.745	238.634	1656
FBgn0038011	1767	1596.06	0	0
FBgn0066365	896.667	839.687	0.190031	4
FBgn0039863	3074.6	2984.91	30.4406	1447
FBgn0037721	423.5	338.07	0.707989	4
FBgn0036459	2408	2237.06	0	0
FBgn0038291	1731	1560.06	16.493	215
FBgn0001114	3225.71	3056.63	1249.88	32275
FBgn0262894	324	153.538	0	0
FBgn0015772	1544.29	1490.07	13.776	540.838
FBgn0030873	596.652	538.152	86.8357	1141
FBgn0086675	958.444	939.451	0.155906	11.0148
FBgn0038223	2813.19	2699.24	9.12219	308.643
FBgn0027081	842.549	780.525	206.247	3707.33
FBgn0043458	1876.74	1777.71	53.2415	1365.25
FBgn0262010	471	300.413	0.398368	1
FBgn0259963	337	166.538	0	0
FBgn0010238	2156	1985.06	74.2143	1231
FBgn0034184	2807.14	2657.92	26.5303	675
FBgn0000018	1794	1623.06	21.6778	294
FBgn0032809	910	739.139	0.971467	6
FBgn0036605	513	342.316	0.349603	1
FBgn0052280	814.621	691.098	29.2803	234
FBgn0000055	615.176	529.745	0.677419	6
FBgn0033657	3918	3747.06	0.095815	3
FBgn0030666	1586	1415.06	1.6387	19.3763
FBgn0011202	1777.53	1704.45	32.2411	1074
FBgn0050091	1681	1510.06	0	0
FBgn0033260	2193.99	2082.96	30.6007	820
FBgn0283427	7470.01	7321.38	601.452	42318
FBgn0033740	1106.5	1021.03	17.8159	304
FBgn0011725	679.165	638.095	25.0037	554.896
FBgn0034377	761	590.139	0	0
FBgn0284248	681	510.246	783.374	3340
FBgn0040674	491	405.529	0.226984	1.53831
FBgn0266434	3359	3188.06	0.0187692	0.5
FBgn0036323	1637	1466.06	0	0
FBgn0038260	1973	1802.06	2.98845	45
FBgn0034617	1987	1816.06	7.84187	119
FBgn0262018	3610	3524.53	0.0339548	2
FBgn0031873	840	669.139	19.6734	110
FBgn0032366	866	695.139	0	0
FBgn0035241	2884.43	2776.52	0.952391	35
FBgn0260049	2104.47	1945.99	132.107	2317
FBgn0267875	162	11.1546	0	0
FBgn0003870	803.204	770.861	32.3994	1103
FBgn0053061	1278	1107.06	0	0
FBgn0041181	4928	4757.06	0.0503146	2
FBgn0039778	933	762.139	0	0
FBgn0014455	1550.13	1384.52	221.058	2639.78
FBgn0030462	453.5	368.069	0.325142	2
FBgn0051832	762	591.139	0.202448	1
FBgn0000259	226.838	200.496	120.904	1314.19
FBgn0261581	717.5	546.744	0	0
FBgn0039271	836	665.139	10.4356	58
FBgn0031463	1194	1023.06	0	0
FBgn0014006	4413.29	4250.11	25.2936	941
FBgn0037150	1456	1285.06	13.131	141
FBgn0030294	1628	1457.06	14.8663	181
FBgn0036039	744.595	680.058	13.3543	201
FBgn0029676	1649.8	1509.96	49.447	762.64
FBgn0037475	1444.5	1273.56	0	0
FBgn0053886	595	424.246	0.386006	1.36839
FBgn0052076	1529	1358.06	25.9079	294
FBgn0064126	1535.59	1373.28	35.5086	429.13
FBgn0039115	970	799.139	16.2388	108.436
FBgn0010356	2362	2191.06	16.659	305
FBgn0051100	1289	1203.53	0.0994365	2
FBgn0263249	318	147.553	0	0
FBgn0039635	398.017	340.458	179.433	1516
FBgn0050010	615.827	473.197	3.59084	17
FBgn0034495	1429	1258.06	15.2646	160.466
FBgn0005617	3623.42	3461.64	30.1017	920
FBgn0030703	794.585	701.101	117.528	1259
FBgn0036574	1897.5	1818.29	16.224	531.943
FBgn0038742	1418	1247.06	69.767	727
FBgn0003162	788.748	706.428	4.73179	58
FBgn0046999	672	501.246	0	0
FBgn0037345	831	660.139	13.7778	76
FBgn0037050	837.053	742.555	9.17682	103
FBgn0029783	590.397	500.347	10.584	84
FBgn0261269	3645	3474.06	3.92709	114
FBgn0264270	174.324	160.983	35.6229	614
FBgn0259822	846.572	818.534	0.096209	4.01189
FBgn0034035	1562	1391.06	28.0463	326
FBgn0039270	868	697.139	13.0466	76
FBgn0031626	1990	1819.06	0	0
FBgn0051324	675.084	617.079	37.4828	569.573
FBgn0260858	1469	1298.06	47.8493	519
FBgn0031874	1407.63	1264.09	7.55218	95
FBgn0262719	7878	7707.06	0.357143	23
FBgn0082831	3365	3279.53	24.6697	1352.08
FBgn0259239	2759	2588.06	0.0924823	2
FBgn0036146	755	584.139	3.8926	19
FBgn0035073	3322	3151.06	11.1659	294
FBgn0020371	789	618.139	0	0
FBgn0032845	764.5	679.03	8.54783	97
FBgn0283651	3751.67	3596.29	1.27059	42.0047
FBgn0267824	2632	2461.06	45.0776	927
FBgn0069973	304.231	246.526	19.0179	116
FBgn0036301	1709	1538.06	18.5963	239
FBgn0265048	4744	4573.06	184.26	7041
FBgn0261057	237.5	67.136	0	0
FBgn0052564	1448	1277.06	0	0
FBgn0030797	778.354	680.596	21.1246	210.006
FBgn0001296	1140.23	1051.14	2.96688	50.0001
FBgn0259972	706	535.305	0	0
FBgn0053986	871	700.139	0	0
FBgn0032435	2743	2572.06	0.0930576	2
FBgn0033905	658.089	562.56	15.9304	134
FBgn0029539	639.5	468.746	0	0
FBgn0030502	1477.5	1392.03	77.3743	1800
FBgn0032554	1230	1059.06	0	0
FBgn0036410	1010.5	925.03	0.517496	8
FBgn0025390	2737.7	2662.5	2.32908	117.789
FBgn0038394	1047	876.058	0.691943	5.06525
FBgn0029715	1081	910.058	61.2801	466
FBgn0034911	6361	6190.06	0.0966669	5
FBgn0263982	803	632.139	0.0946586	0.5
FBgn0026063	2494	2408.53	2.19869	88.5
FBgn0032375	769	598.139	0.200079	1
FBgn0035421	1684	1513.06	16.3726	207
FBgn0053899	413	242.413	0	0
FBgn0033665	1878	1707.06	11.287	161
FBgn0085380	3223	3052.06	0	0
FBgn0053846	1023	852.058	0.751753	5.35232
FBgn0037493	813	642.139	0	0
FBgn0053701	315	144.553	0	0
FBgn0032189	1259	1088.06	14.5186	132
FBgn0033726	683	512.246	0	0
FBgn0037526	1222.08	1124.37	7.53458	123.841
FBgn0028902	2027	1856.06	0.128956	2
FBgn0050289	1164	993.058	0.120511	1
FBgn0038131	1100	929.058	0	0
FBgn0004910	438.25	391.123	0.168761	2
FBgn0037715	478.529	399.902	26.1532	190
FBgn0038151	1571	1400.06	0	0
FBgn0005391	1584.5	1413.56	0	0
FBgn0265416	3420.05	3304.54	0.147171	6.014
FBgn0033115	699.901	609.243	11.9805	115
FBgn0029587	1570.06	1480.19	1.27185	29.9194
FBgn0034300	2076.68	2006.27	11.8922	484
FBgn0265464	2788	2617.06	4.48142	98
FBgn0036112	761	590.139	0	0
FBgn0262730	2381.72	2330.95	19.7103	1292.36
FBgn0262512	659	488.246	76.4748	312
FBgn0015279	1949.93	1874.18	49.914	1764
FBgn0039831	1027.92	965.289	62.8725	1384.1
FBgn0261673	225.5	204.132	0.586261	8
FBgn0026570	678.687	584.571	37.7599	335
FBgn0031574	1718.5	1633.03	6.41234	175
FBgn0036761	966.167	873.248	49.7624	668
FBgn0085385	4756.67	4585.73	0	0
FBgn0027296	1238.18	1133.83	8.569	133
FBgn0033259	2863	2692.06	31.1628	701
FBgn0033616	1893	1722.06	10.4243	150
FBgn0030224	1034	863.058	0	0
FBgn0016685	910.432	740.386	300.983	1871
FBgn0003888	1763.93	1644.12	213.273	4180.41
FBgn0025381	1889.17	1740.32	316.204	5280.76
FBgn0052667	368	197.52	1.21178	2
FBgn0031771	1517.26	1350.35	133.957	1548
FBgn0042133	1168	997.058	6.36148	53
FBgn0028546	540.487	454.06	79.5543	597
FBgn0037620	1159	988.058	1.45345	12
FBgn0086710	159.237	102.327	3453.4	8851
FBgn0000046	642.515	577.063	1.07762	13.5709
FBgn0034568	1743	1657.53	0.180502	5
FBgn0035464	1136.76	1050.07	42.5403	736
FBgn0032331	1716	1545.06	0.232369	3
FBgn0261380	1356	1185.06	23.2269	230
FBgn0039196	1506	1335.06	0	0
FBgn0051683	1927	1756.06	0	0
FBgn0011754	801.277	750.648	19.1239	405
FBgn0003250	1349	1178.06	0.203173	2
FBgn0028872	1850.33	1679.39	0	0
FBgn0003975	3463	3292.06	0.0727051	2
FBgn0039958	546.401	500.515	28.5827	445.329
FBgn0034201	1441.5	1270.74	0	0
FBgn0032390	818.717	653.561	51.5333	291.156
FBgn0031144	708.909	647.445	33.8293	509
FBgn0037481	943	772.139	18.134	117
FBgn0033457	1053	882.058	23.8791	176
FBgn0037974	675.965	580.823	27.407	238.989
FBgn0038033	3901	3730.06	0	0
FBgn0029689	2699	2528.06	11.0772	234
FBgn0036784	2074	1903.06	0	0
FBgn0085458	750	579.139	0	0
FBgn0053865	493	322.382	0	0
FBgn0033787	583.117	494.645	5.38433	43
FBgn0031955	2803	2717.53	0.374324	17
FBgn0054011	1090	919.058	0	0
FBgn0051092	2186.59	2091.8	1.17389	37.0043
FBgn0003218	1462.36	1411.1	14.8278	583
FBgn0029687	1253.41	1169.92	65.0215	1301.43
FBgn0033460	2287.02	2202.97	46.0499	1724
FBgn0039664	1033.53	912.393	7.30572	78.598
FBgn0037802	1114	943.058	7.10644	56
FBgn0014002	1040.83	955.307	747.785	11930.7
FBgn0051454	1736	1565.06	0.152933	2
FBgn0046886	1227	1056.06	0	0
FBgn0261060	329	158.538	0	0
FBgn0039349	754.188	684.896	20.9658	296
FBgn0036230	922.5	751.639	0	0
FBgn0085599	1023	852.058	8.48329	60.3992
FBgn0030292	477	306.413	57.0229	146
FBgn0039132	379.294	315.759	55.9363	397
FBgn0032790	1215	1044.06	12.9526	113
FBgn0261837	1824	1653.06	1.32871	18.3533
FBgn0029996	1339.41	1249.18	48.2413	954
FBgn0264830	262	91.6084	0	0
FBgn0083972	706	535.193	3.13055	14
FBgn0052221	1606	1435.06	9.2567	111
FBgn0061209	595	424.246	0	0
FBgn0019938	5078	4907.06	29.9488	1228
FBgn0029920	757	586.139	0	0
FBgn0259728	885	714.139	5.98316	35.7035
FBgn0260455	739	568.139	0	0
FBgn0033785	1397.19	1271.65	6.28948	91
FBgn0250839	274.75	232.014	0.128952	1
FBgn0267887	453	282.413	0	0
FBgn0267365	936	765.139	20.0204	128
FBgn0032150	848.855	714.576	5.65695	43.0001
FBgn0035360	606.822	546.616	1.61935	21
FBgn0050120	2533	2362.06	0.573916	11.3276
FBgn0035833	3722	3551.06	13.8175	410
FBgn0034849	774	603.139	48.5492	244.679
FBgn0035041	2855	2684.06	0.0891745	2
FBgn0037067	876	705.139	0.169718	1
FBgn0263197	671.057	651.908	68.1699	3315
FBgn0033724	619.864	457.719	20.1092	81
FBgn0265201	476	305.413	0.838955	2.14103
FBgn0031690	357.25	314.515	0.665886	7
FBgn0035009	576	405.246	0	0
FBgn0052601	967	796.139	0.601276	4
FBgn0033996	972.5	887.03	16.932	251
FBgn0034437	2768	2597.06	0.0460809	1
FBgn0031247	748	577.139	20.2887	97.8436
FBgn0039552	649	478.246	0	0
FBgn0030990	1933.94	1773.88	117.042	1852.72
FBgn0015925	1712.94	1566.58	27.9306	427
FBgn0029959	996.099	851.822	32.7274	276
FBgn0001276	727	556.139	24.7467	115
FBgn0036277	437	266.413	99.2751	221
FBgn0052643	548	377.246	0.317233	1
FBgn0263782	3818	3647.06	10.3316	314.852
FBgn0035695	1960.5	1875.03	0.191477	6
FBgn0034138	313.899	228.44	3901.7	14881
FBgn0035997	1784.41	1688.81	23.0636	582
FBgn0028541	2461	2290.06	60.881	1165
FBgn0260454	2398	2227.06	0.0527202	0.981083
FBgn0053666	666	495.246	0	0
FBgn0051860	2260.5	2089.56	0	0
FBgn0035312	1183	1012.06	24.7894	209.637
FBgn0036236	1075	904.058	0.133002	1.00474
FBgn0259735	2517.59	2450.22	118.634	6162.7
FBgn0037094	935.978	884.132	41.9985	1023
FBgn0051953	715	544.139	0.00337066	0.0153258
FBgn0029523	2309	2138.06	0.751296	13.4223
FBgn0035374	1144	973.058	58.9114	479
FBgn0034514	440	269.413	0	0
FBgn0038934	4629	4458.06	0.134583	5.01341
FBgn0036360	2534	2363.06	0.050644	1
FBgn0014465	1046.5	961.03	0.311972	5.01048
FBgn0038471	1102	931.058	24.1648	188
FBgn0038047	1623	1452.06	2.88461	35
FBgn0064237	1495	1324.06	0	0
FBgn0032036	415.912	386.21	344.161	6392
FBgn0038207	740	569.139	0.210273	1
FBgn0259821	1639	1576.55	1.8303	66
FBgn0032084	1396	1225.06	1.17227	12
FBgn0014427	1176	1005.06	13.9315	117
FBgn0031257	1924.12	1798.88	45.2302	928.001
FBgn0041094	2093.48	1936.25	75.3572	1325.52
FBgn0033988	2216	2045.06	29.8447	510
FBgn0015558	1254.74	1202.52	0.942876	31.0096
FBgn0053847	493	322.382	0	0
FBgn0001986	3585	3414.06	37.7176	1076
FBgn0032078	805.673	736.764	193.429	2953.99
FBgn0038551	1645	1474.06	29.2274	360
FBgn0000808	795.543	727.111	7.31373	111
FBgn0036895	3746	3575.06	0.0334749	1
FBgn0266455	280	109.579	0	0
FBgn0031575	1468.7	1382.26	10.2448	234
FBgn0033880	1145	974.058	4.05445	33
FBgn0051661	1341	1170.06	0	0
FBgn0283476	12442	12271.1	0.0682682	7
FBgn0032882	1961	1790.06	32.8128	490.803
FBgn0025700	446.983	361.269	117.822	709
FBgn0039811	514	343.316	0	0
FBgn0086447	396.777	230.467	31.343	61.9042
FBgn0000463	1182	1125.02	0.0709172	2
FBgn0034748	1924	1753.06	17.8175	261
FBgn0042138	331.097	285.837	96.1124	867
FBgn0017556	1211.5	1040.56	0	0
FBgn0267423	640	469.246	0	0
FBgn0052843	3274	3103.06	0	0
FBgn0250827	860	689.139	0	0
FBgn0023536	2345	2174.06	3.02757	55
FBgn0263236	1014.57	958.354	1.14988	28
FBgn0039379	1894	1723.06	33.2689	479
FBgn0263842	318	147.553	0	0
FBgn0259676	1753	1582.06	24.282	321
FBgn0050005	887	716.139	30.3396	181.554
FBgn0036842	1426.16	1338.98	32.9087	722
FBgn0026718	919.793	820.143	4.9337	58
FBgn0034061	656	485.246	39.2137	159
FBgn0038877	2124	1953.06	52.9153	863.562
FBgn0262588	777	606.139	17.7694	90
FBgn0264979	1304.75	1140.19	14.3477	142
FBgn0010772	1200.84	1137.71	31.778	818
FBgn0034127	2103	1932.06	1.4866	24
FBgn0261850	2797	2626.06	20.1428	442
FBgn0037853	1642	1471.06	81.1901	998
FBgn0038851	978	807.058	2.22428	15
FBgn0083942	2228.5	2143.03	0.0199458	0.714343
FBgn0004915	705	619.53	38.5375	399
FBgn0265630	3018.75	2932.76	25.2901	1232
FBgn0034870	870	699.139	0.171175	1
FBgn0036483	3113.91	2982.24	7.44924	241
FBgn0026869	6166.06	5997.76	29.133	1483.04
FBgn0051404	981	810.058	0.147736	1
FBgn0050446	2303	2132.06	0.336787	6
FBgn0033020	669.5	498.746	0	0
FBgn0036450	2644	2473.06	36.0516	745
FBgn0085479	1472	1301.06	0.0919826	1
FBgn0003067	2486	2315.06	26.7775	518
FBgn0036813	1221	1050.06	46.3856	407
FBgn0261353	1529	1358.06	45.8556	520.365
FBgn0037045	1081	910.058	8.15314	62
FBgn0030114	782.539	733.361	42.4875	905
FBgn0046685	2895	2724.06	40.5937	924
FBgn0031951	1105.93	940.635	30.9876	251.887
FBgn0030310	707.609	543.985	370.575	1759
FBgn0032251	1029	858.058	10.7393	77
FBgn0036009	1497	1326.06	0	0
FBgn0039266	476.991	423.48	47.1517	533
FBgn0034194	1759	1588.06	22.9092	304
FBgn0004554	273	187.623	0.318923	1
FBgn0003360	354.019	317.039	388.004	4751.43
FBgn0030320	1114.31	1061.48	16.445	472
FBgn0261639	849	678.139	10.4348	59.1289
FBgn0030812	2171.85	2089.87	40.371	1470
FBgn0052091	2967	2796.06	1.02723	24
FBgn0039183	3009.59	2844.26	28.6084	703
FBgn0000299	4727.43	4585.57	620.073	28629
FBgn0004892	2611	2440.06	0.0490459	1
FBgn0038602	615	444.246	0	0
FBgn0037260	1785	1614.06	0.889743	12
FBgn0052668	2676	2505.06	0.716599	15
FBgn0001250	4145.57	4021.52	0.734401	34.009
FBgn0036795	1548	1377.06	0	0
FBgn0015321	417.912	355.882	50.8842	417
FBgn0030202	348	177.538	0	0
FBgn0030244	482.5	397.07	0.301395	2
FBgn0039501	2472	2301.06	6.44906	124
FBgn0038127	935	764.139	0	0
FBgn0003129	2566	2395.06	0.0999347	2
FBgn0033100	289.814	201.093	37.4138	121
FBgn0013954	633	462.246	896.565	3463
FBgn0030832	708	537.193	0	0
FBgn0264738	1067	896.058	0	0
FBgn0036302	727.281	671.086	61.7906	1054
FBgn0011205	641.948	587.134	52.7472	807.035
FBgn0028700	638	552.53	35.0883	324
FBgn0039927	1302.8	1236.16	5.06916	134.326
FBgn0038079	719.667	548.841	0	0
FBgn0040066	839.089	751.986	56.9312	702.047
FBgn0030833	2777.49	2655.53	3.72988	116
FBgn0036656	715.5	630.03	1.20382	12.675
FBgn0053531	4748.07	4577.88	0.286294	11
FBgn0033982	2048.01	1941.76	0.483378	12.6187
FBgn0085237	380	209.48	0	0
FBgn0052086	1524	1353.06	0	0
FBgn0284247	12280.5	12109.6	0	0
FBgn0039434	1030	859.058	0	0
FBgn0051933	2076	1905.06	0	0
FBgn0038830	670	499.246	19.4179	81.0055
FBgn0035294	1682	1511.06	72.8417	919.727
FBgn0040793	417	246.413	448.758	924
FBgn0014179	2042	1871.06	0	0
FBgn0031145	282.963	225.268	270.985	1510.62
FBgn0033234	2292	2121.06	0.919459	16.2961
FBgn0040343	250	164.674	0.726734	2
FBgn0050491	979.114	832.599	2.60997	21.1853
FBgn0034420	489.378	463.783	119.504	3093
FBgn0054008	715	544.139	4.64941	21.14
FBgn0037297	799.029	714.037	19.3331	232
FBgn0031725	2661.5	2490.56	0	0
FBgn0039307	1248	1077.06	0	0
FBgn0035435	735.333	621.372	7.7039	60
FBgn0013810	12202	12031.1	2.93441	295
FBgn0030494	858	687.139	0.522492	3
FBgn0039055	3473	3302.06	28.3416	782
FBgn0040308	687.394	573.714	65.1987	470.001
FBgn0039620	2274	2103.06	1.59334	28
FBgn0015765	1408.02	1242.75	16.9452	182
FBgn0031270	689.216	526.745	4.53945	21
FBgn0029795	1676	1505.06	0.874665	11
FBgn0030049	1126	1079.26	60.8296	2006.19
FBgn0052702	11349	11178.1	4.92486	460
FBgn0032938	682.945	648.529	36.2988	977
FBgn0037760	3890.45	3745.36	36.125	1332
FBgn0259832	474	303.413	9.94169	25.2052
FBgn0020440	2624.26	2526.13	13.3258	490
FBgn0004590	639	468.246	0	0
FBgn0024941	1388.5	1303.03	0.0459218	1
FBgn0035084	898.723	782.931	13.0886	126.41
FBgn0266490	244.004	159.667	127.319	343.666
FBgn0038752	2194	2023.06	0	0
FBgn0051643	2890	2719.06	0	0
FBgn0030746	2366.11	2256.56	0.883676	26
FBgn0015714	784.665	698.15	82.1005	946.331
FBgn0037506	1426	1255.06	0.47677	5
FBgn0266977	516	345.316	0	0
FBgn0035077	1165	994.058	0.005078	0.0421796
FBgn0053109	1025	854.058	0.140125	1
FBgn0002933	523	352.246	0	0
FBgn0085331	825	654.139	0	0
FBgn0261584	1589.6	1429.71	11.9004	152
FBgn0033362	753.849	689.701	8.00922	123
FBgn0030575	731.58	639.694	3.51967	35
FBgn0015572	1749	1578.06	0.45502	6
FBgn0013276	2375	2204.06	14.2106	261.718
FBgn0032613	2123	1952.06	20.2313	330
FBgn0036225	1146	975.058	0	0
FBgn0052208	514	343.316	0	0
FBgn0017567	819	648.139	160.825	871
FBgn0014388	1874.3	1781.01	588.712	16053.6
FBgn0046763	1934	1763.06	100.936	1487
FBgn0037061	627	456.246	23.0819	87.997
FBgn0030941	2415	2244.06	55.1428	1034
FBgn0029809	1433	1262.06	0	0
FBgn0053120	2301	2130.06	1.23604	22
FBgn0015614	1122.02	967.018	78.6703	701.052
FBgn0033498	1268	1097.06	0.218174	2
FBgn0022224	396	225.437	37.16	70
FBgn0033729	794.5	623.652	0	0
FBgn0260453	818	723.506	0.276039	3.01891
FBgn0039160	1362	1191.06	62.7311	624.329
FBgn0032750	1371	1200.06	7.37959	74
FBgn0033979	847	761.53	0.628602	8
FBgn0032651	1360	1189.06	0	0
FBgn0050376	941	770.139	0	0
